column,family,unit,value_type,level,formula,included,notes
hr_med_bpm,rhythm,bpm,continuous,record,F1,True,
rr_med_ms,rhythm,ms,continuous,record,F2,True,
rr_iqr_ms,rhythm,ms,continuous,record,F2,True,
rr_sdnn_ms,rhythm,ms,continuous,record,F3,True,
prematurity_index_min,rhythm,ratio,bounded,record,F4,True,
comp_pause_ratio_max,rhythm,ratio,bounded,record,F5,True,
pvc_like_beat_count,burden,count,count,record,F6,True,
apb_like_beat_count,burden,count,count,record,F6,True,
paced_like_beat_count,burden,count,count,record,F6,True,
af_irregularity_cv,rhythm,ratio,bounded,record,F7,True,
f_wave_power_ratio,atrial,ratio,bounded,record,F8,True,
p_present_ratio,atrial,ratio,bounded,record,F9,True,
p_amp_ii_med_mV,atrial,mV,continuous,record,F10,True,
p_dur_med_ms,atrial,ms,continuous,record,F11,True,
pr_med_ms,atrial,ms,continuous,record,F12,True,
pr_iqr_ms,atrial,ms,continuous,record,F12,True,
q_amp_ii_med_mV,qrs,mV,continuous,record,F10,True,
r_amp_ii_med_mV,qrs,mV,continuous,record,F10,True,
s_amp_ii_med_mV,qrs,mV,continuous,record,F10,True,
qrs_dur_med_ms,qrs,ms,continuous,record,F13,True,
qrs_dur_iqr_ms,qrs,ms,continuous,record,F13,True,
qrs_deformed_prob,qrs,prob,bounded,record,F14,True,
qrs_deformed_any,qrs,binary,binary,record,F14,True,
qrs_fragmented_any,qrs,binary,binary,record,F15,True,
qrs_wide_any,qrs,binary,binary,record,F15,True,
r_prime_v1_any,qrs,binary,binary,record,F16,True,
broad_r_v6_any,qrs,binary,binary,record,F16,True,
st_level_v1_mV,st,mV,continuous,record,F17,True,
st_level_v5_mV,st,mV,continuous,record,F17,True,
st_slope_v5_uV_per_ms,st,uV/ms,continuous,record,F18,True,
t_amp_v5_med_mV,t,mV,continuous,record,F19,True,
t_dur_med_ms,t,ms,continuous,record,F19,True,
t_inverted_right_any,t,binary,binary,record,F20,True,
qt_med_ms,qt,ms,continuous,record,F21,True,
qtc_med_ms,qt,ms,continuous,record,F21,True,
qrs_net_area_i_mV_ms,axis,mV*ms,continuous,record,F22,True,
qrs_net_area_avf_mV_ms,axis,mV*ms,continuous,record,F22,True,
qrs_axis_deg,axis,deg,circular,record,F23,True,
qrs_axis_sin,axis,unitless,continuous,record,F23,True,
qrs_axis_cos,axis,unitless,continuous,record,F23,True,
rbbb_signature_score,signature,logodds,continuous,record,F24,True,
lbbb_signature_score,signature,logodds,continuous,record,F24,True,
pvc_signature_score,signature,logodds,continuous,record,F24,True,
af_signature_score,signature,logodds,continuous,record,F24,True,
paced_signature_score,signature,logodds,continuous,record,F24,True,
lead_quality_min_db,quality,dB,continuous,record,F25,True,
delineation_confidence,quality,0-1,bounded,record,F26,True,
u_present_v2_any,u,binary,binary,record,F27,True,Optional
u_amp_v2_mV,u,mV,continuous,record,F27,True,Optional
